规则/样本类型,IOC值,威胁意图,风险等级,基础标签,来源渠道,适用场景
恶意URL,http://222.141.82.185:55206/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://60.19.221.36:60080/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://59.177.98.29:37055/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://222.141.82.185:55206/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://125.47.194.56:38288/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://60.23.233.123:40028/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://113.236.113.47:56563/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://123.12.238.172:54953/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://115.61.9.48:57243/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://108.168.0.60:49880/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://125.161.142.194:36629/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://115.61.9.48:57243/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://123.12.238.172:54953/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://117.241.53.119:47293/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://115.57.163.225:41390/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,https://vaultx.lol/downloads/launcher.zip,malware_download,高,zip,URLhaus,Web访问日志分析
恶意URL,http://117.241.53.119:47293/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://110.83.135.207:50260/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,https://github.com/WindSkyUnveil39/Warzone-Cheat-2026/releases/download/Latest/WarLauncher.zip,malware_download,高,"pw-2026,rustystealer,zip",URLhaus,Web访问日志分析
恶意URL,http://182.114.197.17:40698/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://110.83.135.207:50260/bin.sh,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://183.214.149.164:49135/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,https://zontiz.com/%D0%92%D0%BE%D0%BEtcit%D1%83%20JEI.zip,malware_download,高,"pw-2026,zip",URLhaus,Web访问日志分析
恶意URL,http://182.112.4.89:39907/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,https://rizvexeno.ws/%D0%92ootst%D0%B0%D1%80%D1%80%D0%B5%D0%B3Ul.zip,malware_download,高,"pw-ryos,zip",URLhaus,Web访问日志分析
恶意URL,http://46.146.238.1:39657/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://110.37.61.41:40623/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://182.114.197.17:40698/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://110.39.235.164:34303/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://183.214.149.164:49135/bin.sh,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://120.28.169.1:39627/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://115.57.163.225:41390/bin.sh,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://120.37.212.125:52208/i,malware_download,高,"32-bit,arm,elf,mirai,Mozi",URLhaus,Web访问日志分析
恶意URL,http://27.37.88.200:39162/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
恶意URL,http://117.208.244.60:43391/i,malware_download,高,"32-bit,elf,mips,Mozi",URLhaus,Web访问日志分析
